country,storeNumber,customerNumber,name,vat,checkoutCheckCode,limit,product,period,customerType,registrationDate
RO,5,1667,Layo,RO-000-7,,21800,DIRECT_DEBIT,30,TRADER,2012-08-27
RO,5,2987,Eidel,RO-000-9,,19100,BANK_TRANSFER,21,SCO,1983-09-27
FR,2,2814,Browsedrive,FR-000-0,,19700,BANK_TRANSFER,25,SCO,2013-04-08
DE,2,3266,Kare,DE-000-2,,27800,DIRECT_DEBIT,10,HORECA,2007-12-16
DE,2,1333,Twinte,DE-000-4,,45800,DIRECT_DEBIT,21,HORECA,1990-05-06
DE,4,7288,Shufflester,DE-000-5,,33100,DIRECT_DEBIT,30,SCO,1981-02-14
DE,2,2346,Babblestorm,DE-000-0,,19900,BANK_TRANSFER,25,TRADER,2016-03-09
RO,1,6672,Twitterbridge,RO-000-4,,20700,DIRECT_DEBIT,30,HORECA,1980-06-12
DE,3,6080,Ntag,DE-000-9,,39000,DIRECT_DEBIT,2,SCO,1990-08-07
RO,5,1941,Oyoba,RO-000-1,,36100,BANK_TRANSFER,120,TRADER,2004-04-12
RO,2,7493,Bluejam,RO-000-7,,49200,DIRECT_DEBIT,3,SCO,1989-10-07
RO,3,5817,Cogibox,RO-000-3,,46400,BANK_TRANSFER,10,HORECA,1994-02-11
DE,1,7865,Photobug,DE-000-6,,30700,BANK_TRANSFER,60,HORECA,2010-01-19
FR,1,7951,Jabbercube,FR-000-0,,19900,DIRECT_DEBIT,30,SCO,1985-02-26
IT,4,1387,Vinte,IT-000-8,,28700,BANK_TRANSFER,15,HORECA,1981-05-14
DE,4,8718,Vinder,DE-000-9,,38300,BANK_TRANSFER,60,SCO,1981-12-08
DE,3,7342,Kamba,DE-000-8,,49300,BANK_TRANSFER,60,SCO,1987-09-14
FR,4,5987,Skinder,FR-000-1,,16300,BANK_TRANSFER,30,SCO,1982-02-24
RO,4,7927,Kimia,RO-000-3,31,38900,BANK_TRANSFER,2,TRADER,1998-10-05
FR,1,2761,Lajo,FR-000-5,,13800,DIRECT_DEBIT,15,TRADER,2006-06-25
DE,4,7576,Realblab,DE-000-0,,48500,BANK_TRANSFER,120,SCO,2016-10-15
FR,3,8818,Meembee,FR-000-5,,33300,BANK_TRANSFER,25,SCO,2009-09-06
RO,1,9688,Shuffledrive,RO-000-5,,25700,BANK_TRANSFER,3,SCO,1988-10-16
FR,4,7082,Yozio,FR-000-0,,3900,DIRECT_DEBIT,25,HORECA,1984-07-05
FR,3,2900,Cogidoo,FR-000-4,,39900,BANK_TRANSFER,15,TRADER,1986-02-03
DE,5,2440,Skibox,DE-000-2,,33200,DIRECT_DEBIT,2,TRADER,1993-07-21
FR,1,4221,Devify,FR-000-4,,32300,DIRECT_DEBIT,7,TRADER,2014-12-05
IT,2,8500,Skivee,IT-000-2,30,48500,DIRECT_DEBIT,70,TRADER,2012-04-10
RO,1,9735,Quire,RO-000-3,,4800,BANK_TRANSFER,5,TRADER,1995-04-23
IT,3,1373,Kwinu,IT-000-5,,39700,DIRECT_DEBIT,20,HORECA,1986-08-17
IT,4,1132,Yata,IT-000-6,30,2400,DIRECT_DEBIT,21,HORECA,2001-08-23
IT,5,1281,Divape,IT-000-5,,6200,BANK_TRANSFER,10,HORECA,2000-09-12
IT,2,5050,Eare,IT-000-8,,1400,DIRECT_DEBIT,10,HORECA,2016-07-24
RO,1,8957,Meedoo,RO-000-8,,10200,BANK_TRANSFER,30,SCO,2006-04-21
FR,2,2154,Brainsphere,FR-000-3,,27900,DIRECT_DEBIT,60,TRADER,1984-06-23
IT,5,2097,Voomm,IT-000-5,,1700,DIRECT_DEBIT,25,SCO,2010-07-21
FR,4,2930,Zoonoodle,FR-000-3,,34300,DIRECT_DEBIT,21,TRADER,2007-01-13
IT,3,1607,Tavu,IT-000-9,,42900,DIRECT_DEBIT,5,HORECA,2011-11-30
FR,4,3429,Ainyx,FR-000-3,,47900,BANK_TRANSFER,2,SCO,1999-02-05
FR,1,8521,Demivee,FR-000-9,,15400,BANK_TRANSFER,20,TRADER,2018-07-18
FR,1,8832,Youopia,FR-000-2,,49400,BANK_TRANSFER,15,SCO,2018-01-19
FR,5,6436,Voonix,FR-000-3,,16800,DIRECT_DEBIT,5,TRADER,2000-11-10
DE,5,6964,Eimbee,DE-000-4,,47800,DIRECT_DEBIT,15,SCO,2005-10-05
FR,4,4472,Devcast,FR-000-9,,28000,DIRECT_DEBIT,30,SCO,2000-11-12
FR,1,5717,Fivespan,FR-000-6,,7400,BANK_TRANSFER,15,HORECA,1998-10-09
IT,3,3524,Skimia,IT-000-3,,8800,BANK_TRANSFER,5,SCO,2002-04-21
IT,5,6723,Teklist,IT-000-8,,22800,BANK_TRANSFER,120,SCO,1994-12-26
RO,2,7785,Nlounge,RO-000-4,,46200,BANK_TRANSFER,30,SCO,1981-07-09
DE,3,1314,Eazzy,DE-000-0,,24600,BANK_TRANSFER,3,HORECA,2001-06-30
RO,3,4841,Skinte,RO-000-4,30,2200,BANK_TRANSFER,2,TRADER,1987-03-21
FR,3,2727,Voonder,FR-000-6,,25400,DIRECT_DEBIT,5,TRADER,2000-11-14
DE,2,2986,Yoveo,DE-000-4,,19200,DIRECT_DEBIT,21,SCO,2016-03-11
IT,5,7402,Dabshots,IT-000-2,,35200,DIRECT_DEBIT,2,SCO,2013-09-24
DE,2,8351,Gabtune,DE-000-5,,3000,DIRECT_DEBIT,10,HORECA,1997-05-14
IT,1,8047,Zoozzy,IT-000-1,,50000,DIRECT_DEBIT,30,HORECA,2016-10-08
RO,4,6179,Voonix,RO-000-2,,16400,BANK_TRANSFER,7,HORECA,1985-08-27
IT,1,9308,Snaptags,IT-000-8,,42200,DIRECT_DEBIT,25,HORECA,2001-09-03
RO,5,9542,Browsedrive,RO-000-3,,1500,BANK_TRANSFER,21,HORECA,1987-05-27
RO,3,1016,Eidel,RO-000-1,,44000,BANK_TRANSFER,21,TRADER,1999-12-12
RO,3,6444,Roombo,RO-000-7,,7600,BANK_TRANSFER,25,TRADER,2017-11-02
IT,1,1514,Oyoba,IT-000-1,,16000,DIRECT_DEBIT,70,HORECA,2017-12-23
RO,5,1670,Twinte,RO-000-0,,49200,DIRECT_DEBIT,10,SCO,1998-11-14
DE,1,9830,Voolith,DE-000-2,30,24500,BANK_TRANSFER,2,SCO,1984-12-05
IT,1,2773,Wordware,IT-000-4,,28400,BANK_TRANSFER,25,SCO,1984-10-24
IT,1,2126,Mynte,IT-000-5,,49100,DIRECT_DEBIT,60,HORECA,1985-05-11
IT,3,3193,Oyope,IT-000-1,,1700,DIRECT_DEBIT,10,TRADER,2004-07-07
RO,2,2699,Jamia,RO-000-1,,3200,BANK_TRANSFER,30,SCO,2016-07-02
RO,3,8117,Oyonder,RO-000-6,,35400,BANK_TRANSFER,21,SCO,1994-02-02
RO,3,2957,Myworks,RO-000-5,,20900,DIRECT_DEBIT,70,SCO,2000-08-20
RO,3,6736,Bubblebox,RO-000-4,,27900,BANK_TRANSFER,7,TRADER,2002-05-09
RO,5,7899,DabZ,RO-000-5,30,40300,DIRECT_DEBIT,3,TRADER,1992-12-20
IT,4,7974,Mycat,IT-000-8,30,6600,DIRECT_DEBIT,21,TRADER,1990-02-10
IT,2,2054,Digitube,IT-000-6,,21700,BANK_TRANSFER,5,SCO,1992-06-20
IT,4,1365,Pixope,IT-000-3,,28400,BANK_TRANSFER,5,HORECA,2013-05-17
FR,2,5665,Rhybox,FR-000-4,,31000,BANK_TRANSFER,60,TRADER,1992-07-28
DE,3,3397,Jazzy,DE-000-4,,29900,DIRECT_DEBIT,20,HORECA,1988-07-29
FR,5,3978,Jabberbean,FR-000-7,,2200,BANK_TRANSFER,5,HORECA,2008-02-12
RO,2,7108,Skimia,RO-000-4,,38100,DIRECT_DEBIT,21,TRADER,2020-03-01
FR,5,7950,Zoomzone,FR-000-6,,35900,DIRECT_DEBIT,20,HORECA,2010-11-02
RO,4,8164,Zoozzy,RO-000-2,,28500,DIRECT_DEBIT,5,TRADER,1987-08-07
RO,5,6518,Tagpad,RO-000-2,,9900,BANK_TRANSFER,10,HORECA,2021-08-11
RO,1,8721,Skibox,RO-000-7,,46400,DIRECT_DEBIT,120,HORECA,1992-05-07
RO,3,8537,Twinder,RO-000-2,,14400,DIRECT_DEBIT,15,SCO,2008-05-10
IT,2,3888,Leexo,IT-000-7,,13900,BANK_TRANSFER,21,HORECA,2005-08-27
RO,4,5545,Browseblab,RO-000-0,,2100,DIRECT_DEBIT,60,SCO,2015-07-15
DE,1,5021,Mydo,DE-000-2,,39900,BANK_TRANSFER,10,HORECA,1986-05-02
DE,3,1726,Chatterbridge,DE-000-4,,42900,BANK_TRANSFER,120,SCO,1981-04-08
IT,3,5982,Tagchat,IT-000-8,,20700,BANK_TRANSFER,60,TRADER,2021-11-08
DE,4,6314,Quimba,DE-000-6,,7200,BANK_TRANSFER,25,HORECA,1987-08-21
RO,2,3291,Latz,RO-000-1,,14100,BANK_TRANSFER,20,TRADER,2002-12-12
RO,2,1145,Photospace,RO-000-9,,27600,DIRECT_DEBIT,5,HORECA,2019-08-14
RO,1,5724,Wordware,RO-000-6,,25000,DIRECT_DEBIT,5,TRADER,1997-05-30
FR,4,1738,Ntags,FR-000-0,,13400,DIRECT_DEBIT,3,SCO,2015-11-23
IT,3,8338,Wikizz,IT-000-2,,44100,DIRECT_DEBIT,5,SCO,1999-01-12
RO,3,4175,Voonyx,RO-000-2,,23000,BANK_TRANSFER,10,HORECA,2020-09-01
FR,5,4746,Realcube,FR-000-2,,4900,DIRECT_DEBIT,7,SCO,2009-12-24
FR,2,5791,Jamia,FR-000-5,,40800,BANK_TRANSFER,25,SCO,1986-04-20
RO,1,8472,Blogpad,RO-000-6,,15800,DIRECT_DEBIT,2,HORECA,1997-06-19
RO,1,9859,Voonder,RO-000-9,,41100,BANK_TRANSFER,20,SCO,2015-05-08
FR,1,1182,Rhyloo,FR-000-9,,2700,BANK_TRANSFER,5,TRADER,1986-11-11
FR,5,6402,Pixoboo,FR-000-2,,31700,DIRECT_DEBIT,30,TRADER,2017-11-25
RO,3,5149,Vinte,RO-000-3,,15500,DIRECT_DEBIT,25,HORECA,1982-01-07
DE,5,9106,Wordtune,DE-000-8,,39900,DIRECT_DEBIT,21,TRADER,1996-07-15
RO,2,7925,Fiveclub,RO-000-9,,12700,BANK_TRANSFER,5,SCO,2012-11-23
RO,3,6299,Avaveo,RO-000-0,,49400,BANK_TRANSFER,25,HORECA,1980-07-06
IT,3,2223,Voonix,IT-000-2,,32200,DIRECT_DEBIT,70,TRADER,1998-06-24
FR,5,6997,Yamia,FR-000-3,,43800,BANK_TRANSFER,30,HORECA,1988-12-27
FR,1,9688,Brainsphere,FR-000-7,,12700,BANK_TRANSFER,20,SCO,2012-08-20
FR,4,9153,Leexo,FR-000-9,,17100,DIRECT_DEBIT,30,SCO,2007-03-27
IT,1,5735,Voonyx,IT-000-6,,37700,DIRECT_DEBIT,20,HORECA,1999-08-18
DE,3,1957,Rhynyx,DE-000-6,,21500,DIRECT_DEBIT,60,SCO,2001-09-28
RO,2,3885,Tagtune,RO-000-9,,31000,DIRECT_DEBIT,21,HORECA,1989-12-31
DE,5,6621,Thoughtstorm,DE-000-7,,48300,DIRECT_DEBIT,10,SCO,2001-05-07
RO,5,5643,Tagfeed,RO-000-6,,23200,DIRECT_DEBIT,2,SCO,1995-11-25
FR,4,6055,Yakidoo,FR-000-6,,48000,BANK_TRANSFER,25,SCO,2016-09-02
FR,3,3644,Centidel,FR-000-5,,34700,BANK_TRANSFER,7,HORECA,1991-11-14
FR,2,5184,Skynoodle,FR-000-3,,9600,BANK_TRANSFER,25,TRADER,2015-02-08
RO,3,5542,Chatterpoint,RO-000-2,,14100,DIRECT_DEBIT,10,SCO,1995-07-22
FR,2,7840,Reallinks,FR-000-1,,35700,DIRECT_DEBIT,25,SCO,2020-05-25
DE,3,2496,Twimm,DE-000-9,,41000,BANK_TRANSFER,25,SCO,2007-07-15
RO,2,7218,Kamba,RO-000-0,,40800,DIRECT_DEBIT,25,TRADER,2018-07-08
RO,1,2083,Oyondu,RO-000-0,,14900,DIRECT_DEBIT,60,HORECA,1983-01-26
DE,2,5626,Gigabox,DE-000-0,,35600,DIRECT_DEBIT,3,HORECA,1985-01-16
RO,5,6317,Snaptags,RO-000-2,31,44600,DIRECT_DEBIT,20,TRADER,2003-12-07
RO,1,8587,Tavu,RO-000-0,,49300,BANK_TRANSFER,1,HORECA,1991-01-12
DE,5,4521,Babblestorm,DE-000-2,,34400,BANK_TRANSFER,30,HORECA,1983-07-24
RO,2,3379,Leexo,RO-000-7,,22300,DIRECT_DEBIT,60,HORECA,1982-08-12
IT,1,9473,Livetube,IT-000-9,,15300,BANK_TRANSFER,2,HORECA,1996-10-23
FR,5,6466,Trunyx,FR-000-0,,17900,BANK_TRANSFER,120,SCO,1998-11-22
DE,2,9895,Voonix,DE-000-2,,21800,DIRECT_DEBIT,2,HORECA,1985-05-11
IT,4,6476,Eare,IT-000-8,,4800,BANK_TRANSFER,25,SCO,2010-06-16
DE,3,1322,Fivebridge,DE-000-2,,8200,BANK_TRANSFER,25,HORECA,2018-11-16
RO,4,9714,Yakitri,RO-000-2,,16300,DIRECT_DEBIT,15,TRADER,2017-09-04
IT,1,5036,Lazz,IT-000-9,,24100,DIRECT_DEBIT,25,SCO,1996-10-03
IT,5,3857,Wordtune,IT-000-0,,16400,DIRECT_DEBIT,30,HORECA,1987-06-11
RO,5,4306,Voonyx,RO-000-7,30,34400,BANK_TRANSFER,5,TRADER,1992-08-22
IT,1,1995,Camido,IT-000-3,,44800,DIRECT_DEBIT,5,SCO,2018-02-16
RO,4,9890,Quatz,RO-000-6,,15100,BANK_TRANSFER,30,HORECA,1987-12-04
RO,3,4126,Jabberbean,RO-000-3,,14800,BANK_TRANSFER,25,SCO,1991-04-11
DE,1,5866,Yadel,DE-000-8,31,34300,DIRECT_DEBIT,20,TRADER,1998-12-03
DE,5,8380,Browseblab,DE-000-8,,32100,BANK_TRANSFER,15,HORECA,1990-05-28
RO,4,7029,Skaboo,RO-000-1,,25500,BANK_TRANSFER,5,SCO,1988-08-18
RO,2,3815,Skyndu,RO-000-3,,25400,DIRECT_DEBIT,1,TRADER,2020-04-14
DE,1,3353,Demizz,DE-000-5,,32900,DIRECT_DEBIT,15,HORECA,1983-02-08
IT,2,1179,Zoonder,IT-000-8,,18400,DIRECT_DEBIT,30,SCO,1985-04-20
RO,1,3364,Trunyx,RO-000-3,,13700,BANK_TRANSFER,5,HORECA,2009-08-14
IT,1,9964,BlogXS,IT-000-9,,47600,BANK_TRANSFER,7,HORECA,1993-09-05
FR,2,2509,Yakijo,FR-000-2,,33600,BANK_TRANSFER,20,HORECA,1995-06-11
IT,1,5780,Photobug,IT-000-3,,8100,DIRECT_DEBIT,1,HORECA,1987-09-01
FR,5,2079,Twitterworks,FR-000-3,,28900,BANK_TRANSFER,21,TRADER,1986-05-27
IT,2,2999,Janyx,IT-000-2,,37900,BANK_TRANSFER,21,TRADER,2019-01-11
IT,2,9132,Yamia,IT-000-4,,44200,BANK_TRANSFER,3,HORECA,2002-02-28
RO,2,5846,Dabtype,RO-000-0,,23500,DIRECT_DEBIT,3,TRADER,2020-04-21
IT,5,5716,Gabcube,IT-000-8,,10800,DIRECT_DEBIT,15,TRADER,2008-05-30
FR,4,8678,Layo,FR-000-0,,37200,BANK_TRANSFER,21,HORECA,1999-12-28
IT,4,6539,Voonyx,IT-000-0,,35700,DIRECT_DEBIT,2,SCO,1999-01-16
IT,3,6091,Avavee,IT-000-3,,17000,DIRECT_DEBIT,3,SCO,1994-09-04
IT,2,2881,Jaxnation,IT-000-1,,45400,DIRECT_DEBIT,1,HORECA,2003-11-04
DE,2,2324,Jayo,DE-000-3,,35700,DIRECT_DEBIT,15,TRADER,2003-05-08
IT,4,2675,Photojam,IT-000-9,,24800,BANK_TRANSFER,2,SCO,2006-10-02
RO,3,1613,Demivee,RO-000-6,30,1600,BANK_TRANSFER,7,TRADER,2007-06-03
IT,5,2568,Shuffledrive,IT-000-8,31,45100,BANK_TRANSFER,30,TRADER,2013-05-25
FR,4,7741,Dabfeed,FR-000-5,,45900,BANK_TRANSFER,1,TRADER,1980-01-21
IT,4,4247,Fivebridge,IT-000-4,,48400,DIRECT_DEBIT,25,HORECA,2005-10-03
IT,4,2053,Quatz,IT-000-1,,24600,DIRECT_DEBIT,30,TRADER,1988-04-12
FR,5,3429,Twitterlist,FR-000-9,,28400,BANK_TRANSFER,1,SCO,2020-12-30
IT,1,4106,Vimbo,IT-000-4,,9400,DIRECT_DEBIT,3,HORECA,1997-05-14
RO,5,9053,Blogspan,RO-000-9,,39800,BANK_TRANSFER,21,HORECA,1984-08-28
IT,3,8733,Thoughtstorm,IT-000-8,30,20700,DIRECT_DEBIT,60,HORECA,1989-10-27
FR,2,9557,Thoughtstorm,FR-000-7,,31400,DIRECT_DEBIT,3,TRADER,1996-01-07
IT,2,6934,Tagchat,IT-000-7,,5400,DIRECT_DEBIT,30,SCO,2005-04-01
DE,5,3515,Vinder,DE-000-3,,16000,DIRECT_DEBIT,30,HORECA,2003-01-06
IT,1,7842,Fatz,IT-000-9,,9300,BANK_TRANSFER,120,SCO,1999-08-27
FR,1,8258,Yadel,FR-000-2,,2900,BANK_TRANSFER,70,HORECA,2015-10-29
IT,2,3523,Dynava,IT-000-5,,6000,BANK_TRANSFER,120,HORECA,1981-10-25
IT,2,3824,Feedbug,IT-000-1,,40100,DIRECT_DEBIT,60,SCO,2017-11-21
RO,5,2623,Dynazzy,RO-000-6,,23600,BANK_TRANSFER,5,HORECA,1992-10-20
FR,4,4557,Thoughtbeat,FR-000-4,,32500,BANK_TRANSFER,120,HORECA,2005-04-09
DE,3,6700,Yodel,DE-000-6,,14200,BANK_TRANSFER,25,HORECA,1980-05-01
IT,3,9746,Gigazoom,IT-000-9,,33100,BANK_TRANSFER,60,HORECA,2011-11-06
IT,2,5687,Oyondu,IT-000-1,,18500,DIRECT_DEBIT,5,SCO,1998-01-06
RO,2,9427,Kayveo,RO-000-6,,45000,BANK_TRANSFER,2,TRADER,1992-10-08
FR,3,9705,Skinix,FR-000-9,,36000,BANK_TRANSFER,3,SCO,1990-04-18
FR,5,2031,Cogilith,FR-000-2,,14500,DIRECT_DEBIT,20,SCO,2021-01-11
RO,3,9391,Kaymbo,RO-000-4,,24000,DIRECT_DEBIT,21,HORECA,2013-11-30
RO,3,6675,Photojam,RO-000-9,,49900,BANK_TRANSFER,30,TRADER,2015-10-07
FR,2,6990,Mita,FR-000-4,,44500,BANK_TRANSFER,120,SCO,2006-01-12
DE,2,5359,Tambee,DE-000-9,,27500,DIRECT_DEBIT,15,HORECA,2013-09-07
DE,2,3638,Riffwire,DE-000-9,,10600,BANK_TRANSFER,120,TRADER,2014-10-14
DE,1,6765,Leenti,DE-000-4,,2600,BANK_TRANSFER,60,SCO,2003-03-08
RO,2,9091,Flashdog,RO-000-6,,31700,BANK_TRANSFER,120,SCO,1998-04-20
RO,2,5486,Npath,RO-000-9,,25200,DIRECT_DEBIT,2,HORECA,2001-03-16
FR,2,6452,Divape,FR-000-8,,43700,BANK_TRANSFER,20,TRADER,2008-09-10
IT,4,9319,Dablist,IT-000-4,,49600,DIRECT_DEBIT,30,SCO,1996-03-14
IT,4,1138,Gigazoom,IT-000-8,,34500,DIRECT_DEBIT,1,TRADER,2016-08-04
RO,1,1175,Trilia,RO-000-0,,10000,BANK_TRANSFER,3,TRADER,2018-02-26
FR,1,9234,Skynoodle,FR-000-2,,39400,DIRECT_DEBIT,10,HORECA,2009-08-14
DE,5,5292,Voomm,DE-000-5,,31400,BANK_TRANSFER,20,TRADER,1994-06-06
RO,3,8305,Thoughtbeat,RO-000-8,,26900,DIRECT_DEBIT,25,HORECA,1992-04-15
DE,4,3156,Wordify,DE-000-6,,11000,DIRECT_DEBIT,20,HORECA,2019-11-20
FR,5,2506,Tagpad,FR-000-8,30,49000,BANK_TRANSFER,3,HORECA,1980-05-23
RO,1,3127,Gigashots,RO-000-2,,5000,BANK_TRANSFER,25,SCO,1982-03-12
FR,5,7017,Topicshots,FR-000-7,,46800,BANK_TRANSFER,15,SCO,1981-04-27
FR,4,9089,Janyx,FR-000-7,,4400,BANK_TRANSFER,30,TRADER,1994-11-08
RO,1,9931,Dynabox,RO-000-2,,33600,DIRECT_DEBIT,7,HORECA,1997-11-13
IT,2,5910,Meembee,IT-000-1,,21400,BANK_TRANSFER,120,SCO,1981-11-01
DE,2,8596,Yakidoo,DE-000-0,,40500,DIRECT_DEBIT,1,SCO,1980-11-29
